[2025-07-22 10:19:28] Usuario: Array | Acción: CREATE | Tabla: cosas | Detalle: Se creó la tabla 'cosas' con 2 columnas
[2025-07-22 10:19:34] Usuario: Administrador | Acción: DELETE | Tabla: cosas | Detalle: Se borró la tabla 'cosas'
[2025-07-22 10:19:58] Usuario: Array | Acción: UPDATE | Tabla: servicios | Detalle: Se actualizó el registro con ID 1
[2025-07-22 10:20:10] Usuario: Array | Acción: DELETE | Tabla: servicios | Detalle: Se borro el registro con ID 2147483647
[2025-07-22 10:20:32] Usuario: Array | Acción: INSERT | Tabla: usuarios | Detalle: Se actualizó el registro con ID 
[2025-07-22 10:21:36] Usuario: Array | Acción: INSERT | Tabla: usuarios | Detalle: Se inserto un registo con id 
[2025-07-22 10:24:02] Usuario: Array | Acción: DELETE | Tabla: servicios | Detalle: Se borro el registro con ID 12312
[2025-07-22 04:28:26] Usuario: Array | Acción: UPDATE | Tabla: servicios | Detalle: Se actualizó el registro con ID 1
[2025-07-22 04:28:38] Usuario: Array | Acción: INSERT | Tabla: comentarios_servicio | Detalle: Se inserto un registo con id 
[22-07-2025 04:29:23] Usuario: Array | Acción: INSERT | Tabla: usuarios | Detalle: Se inserto un registo con id 
[22-07-2025 04:29:47] Usuario: Array | Acción: DELETE | Tabla: usuarios | Detalle: Se borro el registro con ID 6
[22-07-2025 04:40:22] Usuario: Array | Acción: CREATE | Tabla: cosas | Detalle: Se creó la tabla 'cosas' con 1 columnas
[22-07-2025 04:40:33] Usuario: Administrador | Acción: INSERT | Tabla: cosas | Detalle: Se insertó un registro con id 
[22-07-2025 04:40:45] Usuario: Administrador | Acción: DELETE | Tabla: cosas | Detalle: Se eliminó un registro con id 1
[22-07-2025 04:40:51] Usuario: Administrador | Acción: DELETE | Tabla: cosas | Detalle: Se borró la tabla 'cosas'
[22-07-2025 04:42:06] Usuario: Administrador | Acción: CREATE | Tabla: prueba | Detalle: Se creó la tabla 'prueba' con 1 columnas
[22-07-2025 04:42:15] Usuario: Administrador | Acción: INSERT | Tabla: prueba | Detalle: Se insertó un registro con id 
[22-07-2025 04:42:23] Usuario: Administrador | Acción: DELETE | Tabla: prueba | Detalle: Se borró la tabla 'prueba'
